model_year,make,model,price,title,car_condition,cylinders,fuel,odometer,color,car_status,car_transmission,car_type,body_text,image_name,featured_car,on_sale,pct_off
2012,Mini,Cooper S CountryMAN,6999,2012 Mini Cooper S CountryMAN,Excellent,4,Gas,104000,Black,Clean,Automatic,SUV,Please visit our showroom or call for questions or to see the vehicle.[Equipment / Accessories] - Air Conditioning - Power Windows - Power Locks - Power Steering - Tilt Wheel - AM/FM CD/MP3 - Satellite - Immobilizer - Keyless Entry - Alarm - Daytime Running Lights - Dual Front Airbags - Side Airbags - Head Airbags - Rear Head Airbags - Active Seatbelts - All Wheel ABS Additional Airbags Alloy Wheels Anti-Theft System Braking Assist Chrome Exhaust Tip Cornering Brake Control Crash Sensors Cruise Control Curtain Airbags Dual Exhaust Electronic Braking System Electronic Traction Control FWD Fog Lights Front Sport Bucket Seats Leather Steering Wheel Leatherette Upholstery Push-Button Start Rear Bucket Seats Rear Headrests Rear Spoiler Run Flat Tires Satellite Radio Side Airbags Silver Roof Rails Stability Control Steering Wheel Mounted Controls Tire Pressure Monitoring System,DW2012MiniCooperSCountryMAN127.jpg,,,
2018,Mazda,MAZDA3,10450,2018 Mazda MAZDA3,Excellent,4,Gas,110828,Black,Clean,Automatic,Sedan,"2018 Mazda MAZDA3 in excellent condition with 110,828 miles! Well-maintained and ready for anything.",CN2018MazdaMAZDA3ZYXWVUTS92.jpg,,,
2012,Hyundai,Veloster Coupe 3Dr Manual,4850,2012 Hyundai Veloster Coupe 3Dr Manual,,,Gas,111000,Black,Clean,Manual,Coupe,Hyundai veloster 2012 Manual transmission Moon Roof No lights on dash Engine 100% Transmission 100% Sporty look 29-35 mpg Never been into accident Car fax clean report Just buy no work required,AGFHyundaiveloster2012Coupe3864.jpg,,,
2016,Nissan,Altima 2.5 S 4D AT,6995,2016 Nissan Altima 2.5 S 4D AT All power Very CleanInspection 111K,Excellent,4,Gas,111437,Black,Clean,Automatic,Sedan,".This Black Altima is 2.5 S it is 4Door Sedan Has All power options, Very Clean, Back up Camera has 111K miles on it and Comes with both states safety inspections one ownerVA&MDone owner and limited , for more info or to see more pics please us at our after hours .",FX2016NissanAltima2.5S4DATA180.jpg,,,
2012,Honda,Odyssey EXL,9999,2012 Honda Odyssey EXL one owner Low Miles DVD,Excellent,6,Gas,116000,Black,Clean,Automatic,Minivan,Please visit our showroom or call for questions or to see the vehicle.[Equipment / Accessories] - Air Conditioning - Power Windows - Power Locks - Power Steering - Tilt Wheel - AM/FM CD/MP3 - Satellite - AM/FM CD/DVD - Immobilizer - Keyless Entry - Alarm - Daytime Running Lights - Dual Front Airbags - Side Airbags - Head Airbags - Rear Head Airbags - Active Seatbelts - All Wheel ABS - Power Sun/Moon Roof,EL2012HondaOdysseyEXLONEOWN142.jpg,,,
2012,BMW,7 Series 750Li xDrive AWD 4dr Sedan,11999,2012 BMW 7 Series 750Li xDrive AWD 4dr Sedan,Excellent,8,Gas,118469,Black,Clean,Automatic,Sedan,"Stock#LMC1561 NO accident, clean IN and out, BMW 750LI xdrive AWD sedan IS available , clean black exterior, clean leather interior smooth and perfect twin turbo engine automatic transmission shifts smooth 118FULLY detailed/cleaned freshstate inspection power one ownerdoors, windows, steering, heated seats, heats UP display, push TO strt, navigation, back UP camera, sunroof, powertail gate, 2 set OF keys etc Good tires, and alloy wheels, etc . NO accident clean CarFax history, drives excellent competitive price.. Prior to offer , our vehicles are thoroughly inspected by the competent experts and if needed brought into compliance as well. Our prime focus in this essential area of life is to facilitate the customers with quality vehicles within competitive prices. We are committed to provide our customers pressure free environment with honest opinion.",L2012BMW7Series750LixDrive12.jpg,,,
2015,Lexus,RX350 AWD,14250,2015 Lexus RX350 AWD,Excellent,6,Gas,119200,Black,Clean,Automatic,SUV,"2015 lexus RX 350 AWD Black on black 119,200 miles Fully loaded with nav, lane assist, parking assist, etc. Family owned since 2018 Recently passedinspection in hand Interior and exterior in great shape, you would guess this vehicle is nearly new. A few small scratches and one very small dent, but the paint really pops Fully detailed last week, inside & out, with a paint correction and a 5-year Ceramic coating applied",GI2015LexusRX350AWDZYXWVUTS191.jpg,,,
2010,Lexus,HS 250H Premium 4dr Sedan Gas/Electric Hybrid,8999,2010 Lexus HS 250h Premium 4dr Sedan Gas/Electric Hybrid,Excellent,4,Hybrid,124029,Black,Clean,Automatic,Sedan,"Stock#LMC1797 clean nice and well kept, runs great, lexus HS25H hybrid sedan IS UP , beautiful black exterior, clean leather interior smooth and perfect hybrid engine, automatic transmission shifts smooth 124K miles driven only fully detailed/cleaned freshstate inspection power one ownerdoors, windows, steering, mirrors,one owner sunroof, back UP camera, navigation, push start, 2 set OF keys and much more etc Good tires, and alloy wheels, etc . Drives excellent competitive price.. Prior to offer , our vehicles are thoroughly inspected by the competent experts and if needed brought into compliance as well. Our prime focus in this essential area of life is to facilitate the customers with quality vehicles within competitive prices. We are committed to provide our customers pressure free environment with honest opinion. Provided by a third party is provided solely by such third party, and not by us or any other of our affiliates.",GM2010LexusHS250hPremium4dr195.jpg,,,
2009,BMW,328i xDrive AWD 4dr Sedan,6999,2009 BMW 3 Series 328i xDrive AWD 4dr Sedan,Excellent,6,Gas,125885,Black,Clean,Automatic,Sedan,"Stock#LMC1808 clean IN and out. Runs grate, 3 series BMW 328i xdrive AWD IS UP , beautiful black exterior, clean leather interior smooth and perfect engine, automatic transmission shifts smooth 125K miles driven only fully detailed/cleaned freshstate inspection power one ownerdoors, windows, steering, mirrors,one owner sun roof, back UP parking aid, navigation, push start, and much more etc Good tires, and alloy wheels, etc . Drives excellent competitive price",GL2009BMW3Series328ixDriveA194.jpg,,,
2012,Toyota,Camry,8000,2012 camry,Good,6,Gas,127000,Black,Clean,Automatic,Sedan,"Cracked windshield Semi-new tires got 127,000 miles Car drives perfectly",FR2012camryZYXWVUTSRQPONMLK174.jpg,,,
2013,Hyundai,Equus Signature,10499,2013 Hyundai Equus Signature 4dr Sedan,Excellent,8,Gas,133222,Black,Clean,Automatic,Sedan,"Stock#LMC1611 NO accident, clean, nice and well kept, hyundai equus signature 4DOOR sedan IS UP , beautiful black exterior, clean leather interior smooth and perfect engine automatic transmission shifts smooth 133K miles driven only fully detailed/cleaned freshstate inspection power one ownerdoors, windows, steering, mirrors,one owner hot and cold seats ON front, sunroof, back UP camera, navigation, 2 keys, and much more etc Good tires, and alloy wheels, etc . NO accident clean CarFax history, drives excellent competitive price",FA2013HyundaiEquusSignature157.jpg,,,
